0	238	249	348	225	213	427	233	591	408	504	216	95	598	275	406	343	510	406	198	205	87	503	417	389	252	322	124	294	306	340	282	187	84	385	348	237	655	418	228	379
238	0	442	572	148	381	612	425	784	601	697	151	270	790	486	599	392	805	599	300	429	171	695	662	582	331	292	353	518	439	529	250	248	276	570	489	54	847	643	383	591
249	442	0	316	464	452	472	136	370	259	283	364	334	377	194	185	178	391	185	174	273	289	282	443	168	491	243	288	381	134	178	522	427	159	463	144	438	434	507	96	388
348	572	316	0	491	321	156	180	195	179	328	549	351	394	140	324	550	185	360	586	181	420	283	127	276	406	615	260	88	505	262	473	398	326	147	414	570	266	85	508	110
225	148	464	491	0	250	481	403	659	557	720	307	139	813	444	622	549	679	622	327	374	202	718	531	605	195	448	252	439	522	510	126	117	300	439	564	211	871	564	444	548
213	381	452	321	250	0	245	296	516	450	603	420	124	696	309	518	546	506	555	401	207	291	601	320	480	161	526	126	257	510	402	200	138	287	203	552	441	586	363	431	430
427	612	472	156	481	245	0	336	351	334	484	638	342	549	296	480	706	341	516	620	278	509	439	123	432	329	771	308	127	661	418	396	362	439	43	570	659	421	195	573	265
233	425	136	180	403	296	336	0	281	160	302	401	277	396	59	218	285	294	254	327	142	272	301	308	179	386	350	175	245	240	103	416	365	143	328	301	422	453	281	207	163
591	784	370	195	659	516	351	281	0	103	135	730	545	201	262	211	480	21	276	516	368	630	90	274	222	601	545	430	259	435	185	653	592	501	341	331	784	96	178	438	109
408	601	259	179	557	450	334	160	103	0	139	621	431	234	146	145	371	130	181	407	302	447	100	345	97	540	436	328	280	326	83	569	518	317	362	235	597	198	249	329	129
504	697	283	328	720	603	484	302	135	139	0	643	589	143	355	79	393	156	189	429	447	544	47	416	135	692	458	480	372	348	220	777	682	414	453	244	697	199	320	351	221
216	151	364	549	307	420	638	401	730	621	643	0	301	736	462	545	300	750	544	216	405	147	641	618	527	457	199	329	494	347	505	398	393	252	591	397	113	793	619	299	567
95	270	334	351	139	124	342	277	545	431	589	301	0	681	313	489	426	535	489	281	233	170	586	393	472	162	405	117	297	389	379	174	79	167	312	431	333	738	436	311	405
598	790	377	394	813	696	549	396	201	234	143	736	681	0	448	217	485	220	281	521	540	636	140	480	228	784	551	573	456	441	313	869	774	507	538	337	790	131	383	444	306
275	486	194	140	444	309	296	59	262	146	355	462	313	448	0	272	342	252	309	387	158	332	246	266	234	425	407	216	190	297	147	454	406	203	286	355	482	332	240	264	122
406	599	185	324	622	518	480	218	211	145	79	545	489	217	272	0	295	232	76	331	364	446	123	492	51	648	360	396	415	250	137	679	584	316	497	146	600	275	396	253	264
343	392	178	550	549	546	706	285	480	371	393	300	426	485	342	295	0	500	246	153	429	274	390	712	277	584	116	381	536	95	287	633	520	252	729	145	347	543	616	134	496
510	805	391	185	679	506	341	294	21	130	156	750	535	220	252	232	500	0	304	544	358	659	119	254	251	592	573	444	250	463	213	644	582	529	332	360	813	83	157	467	106
406	599	185	360	622	555	516	254	276	181	189	544	489	281	309	76	246	304	0	331	400	446	186	556	87	648	313	432	458	161	172	679	584	316	539	86	553	338	459	253	307
198	300	174	586	327	401	620	327	516	407	429	216	281	521	387	331	153	544	331	0	387	129	427	600	314	439	111	312	476	200	323	470	375	234	573	250	263	579	652	84	533
205	429	273	181	374	207	278	142	368	302	447	405	233	540	158	364	429	358	400	387	0	273	444	250	322	322	484	135	126	390	245	352	291	177	221	444	423	435	251	311	238
87	171	289	420	202	291	509	272	630	447	544	147	170	636	332	446	274	659	446	129	273	0	543	490	429	329	254	201	366	320	376	360	265	124	462	370	171	695	491	212	438
503	695	282	283	718	601	439	301	90	100	47	641	586	140	246	123	390	119	186	427	444	543	0	371	134	690	456	478	348	346	143	775	680	412	429	242	696	162	275	350	197
417	662	443	127	531	320	123	308	274	345	416	618	393	480	266	492	712	254	556	600	250	490	371	0	406	406	745	321	132	635	392	472	438	410	146	544	639	335	72	638	239
389	582	168	276	605	480	432	179	222	97	135	527	472	228	234	51	277	251	87	314	322	429	134	406	0	567	340	356	374	231	96	659	564	297	456	140	580	275	343	234	223
252	331	491	406	195	161	329	386	601	540	692	457	162	784	425	648	584	592	648	439	322	329	690	406	567	0	565	237	352	549	496	81	102	326	289	591	394	672	449	470	516
322	292	243	615	448	526	771	350	545	436	458	199	405	551	407	360	116	573	313	111	484	254	456	745	340	565	0	436	601	162	352	540	500	312	697	212	254	608	681	182	562
124	353	288	260	252	126	308	175	430	328	480	329	117	573	216	396	381	444	432	312	135	201	478	321	356	237	436	0	206	345	281	257	214	132	273	387	352	632	331	267	320
294	518	381	88	439	257	127	245	259	280	372	494	297	456	190	415	536	250	458	476	126	366	348	132	374	352	601	206	0	570	327	406	344	287	97	479	516	330	134	421	174
